session_day,class,first_qualifying_excursion_pips,side,minute_of_day
2014-10-27,SA,31.600000000000517,1,615.0
2014-10-28,SW,33.90000000000004,1,510.0
2014-10-29,SW,37.10000000000102,-1,825.0
2014-10-30,SA,33.90000000000004,1,600.0
2014-10-31,NEITHER,,0,
2014-11-03,NEITHER,,0,
2014-11-04,NEITHER,,0,
2014-11-05,SA,58.00000000000027,-1,270.0
2014-11-06,SA,30.90000000000037,-1,480.0
2014-11-07,SW,25.399999999999867,1,900.0
2014-11-10,SA,25.100000000000122,-1,855.0
2014-11-11,SA,26.800000000000157,1,705.0
2014-11-12,SW,46.500000000000426,-1,360.0
2014-11-13,SA,26.000000000001577,-1,645.0
2014-11-14,SA,25.999999999999357,-1,510.0
2014-11-17,SA,46.299999999999116,-1,240.0
2014-11-18,NEITHER,,0,
2014-11-19,SW,25.700000000001832,1,285.0
2014-11-20,SA,27.599999999998737,1,540.0
2014-11-21,SA,36.40000000000087,-1,225.0
2014-11-24,SW,30.90000000000037,1,660.0
2014-11-25,SW,32.600000000000406,1,645.0
2014-11-26,SW,25.799999999998047,1,405.0
2014-11-27,SA,28.999999999999027,-1,345.0
2014-11-28,SA,32.49999999999975,-1,615.0
2014-12-01,SA,28.700000000001502,1,240.0
2014-12-02,SA,30.799999999999716,-1,420.0
2014-12-03,SW,38.49999999999909,1,495.0
2014-12-04,NEITHER,,0,
2014-12-05,SA,26.100000000000012,1,375.0
2014-12-08,SA,29.69999999999917,1,360.0
2014-12-09,NEITHER,,0,
2014-12-10,NEITHER,,0,
2014-12-11,SA,29.89999999999826,-1,225.0
2014-12-12,NEITHER,,0,
2014-12-15,SA,29.799999999999827,-1,315.0
2014-12-16,SA,32.49999999999975,1,285.0
2014-12-17,SA,37.30000000000011,-1,615.0
2014-12-18,SA,39.20000000000145,1,240.0
2014-12-19,SW,28.799999999999937,-1,405.0
2014-12-22,SA,35.199999999999676,-1,885.0
2014-12-23,SA,26.100000000000012,-1,360.0
2014-12-26,NEITHER,,0,
2014-12-29,SA,28.900000000000592,-1,600.0
2014-12-30,SA,33.799999999999386,1,600.0
2014-12-31,SA,31.599999999998296,1,405.0
2015-01-02,SA,51.000000000001044,-1,270.0
2015-01-05,SA,27.800000000000047,-1,420.0
2015-01-06,SA,36.10000000000113,-1,270.0
2015-01-07,SW,32.59999999999818,-1,540.0
2015-01-08,SA,25.699999999999612,-1,225.0
2015-01-09,SA,37.00000000000036,1,255.0
2015-01-12,SA,26.200000000000667,-1,180.0
2015-01-13,SA,49.70000000000141,-1,270.0
2015-01-14,SA,33.40000000000121,1,525.0
2015-01-15,SW,37.30000000000011,-1,645.0
2015-01-16,SW,27.29999999999899,-1,600.0
2015-01-19,SA,29.599999999998516,1,270.0
2015-01-20,SA,31.399999999999206,1,255.0
2015-01-21,SA,40.599999999999525,-1,270.0
2015-01-22,SA,29.69999999999917,1,420.0
2015-01-23,NEITHER,,0,
2015-01-26,SA,25.100000000000122,1,675.0
2015-01-27,SW,39.89999999999938,1,510.0
2015-01-28,SA,30.09999999999957,1,360.0
2015-01-29,SA,31.09999999999946,-1,615.0
2015-01-30,SW,25.699999999999612,-1,585.0
2015-02-02,SA,27.999999999999137,-1,285.0
2015-02-03,SA,33.90000000000004,1,420.0
2015-02-04,SA,33.99999999999847,1,315.0
2015-02-05,SA,25.599999999998957,1,285.0
2015-02-06,SW,33.90000000000004,-1,510.0
2015-02-09,SA,31.799999999999606,-1,300.0
2015-02-10,NEITHER,,0,
2015-02-11,SA,25.100000000000122,1,330.0
2015-02-12,SA,39.00000000000014,1,330.0
2015-02-13,NEITHER,,0,
2015-02-16,SA,28.799999999999937,-1,315.0
2015-02-17,SW,34.50000000000175,-1,615.0
2015-02-18,SA,60.89999999999929,1,270.0
2015-02-19,SA,28.200000000000447,-1,510.0
2015-02-20,SA,30.90000000000037,-1,225.0
2015-02-23,SA,32.10000000000157,-1,345.0
2015-02-24,NEITHER,,0,
2015-02-25,NEITHER,,0,
2015-02-26,SA,28.500000000000192,-1,450.0
2015-02-27,SA,29.29999999999877,-1,225.0
2015-03-02,SW,34.40000000000109,-1,615.0
2015-03-03,NEITHER,,0,
2015-03-04,SW,29.200000000000337,-1,540.0
2015-03-05,NEITHER,,0,
2015-03-06,SA,28.700000000001502,-1,255.0
2015-03-09,SA,27.29999999999899,1,285.0
2015-03-10,SA,26.100000000000012,-1,285.0
2015-03-11,SW,26.599999999998847,-1,540.0
2015-03-12,SW,28.500000000000192,-1,750.0
2015-03-13,SA,27.599999999998737,-1,435.0
2015-03-16,SA,25.500000000000522,1,555.0
2015-03-17,SA,35.20000000000189,-1,255.0
2015-03-18,SA,74.89999999999996,-1,330.0
2015-03-19,SA,47.300000000001226,-1,210.0
2015-03-20,SW,27.500000000000302,1,495.0
2015-03-23,SA,27.800000000000047,-1,225.0
2015-03-24,SW,32.40000000000131,-1,570.0
2015-03-25,SA,32.49999999999975,1,435.0
2015-03-26,SA,26.300000000001322,1,225.0
2015-03-27,SW,28.799999999999937,1,420.0
2015-03-30,SA,27.300000000001212,-1,435.0
2015-03-31,SW,34.000000000000696,1,630.0
2015-04-01,SA,37.90000000000182,-1,270.0
2015-04-02,SA,35.799999999999166,-1,390.0
2015-04-03,SW,67.09999999999994,1,510.0
2015-04-06,SA,38.000000000000256,1,540.0
2015-04-07,SA,42.89999999999905,-1,270.0
2015-04-08,SA,31.600000000000517,1,210.0
2015-04-09,SA,43.89999999999894,-1,210.0
2015-04-10,SA,27.300000000001212,-1,270.0
2015-04-13,SA,29.999999999998916,1,735.0
2015-04-14,SA,33.199999999999896,-1,270.0
2015-04-15,SA,31.600000000000517,-1,270.0
2015-04-16,SA,30.300000000000882,1,375.0
2015-04-17,SA,49.29999999999879,1,270.0
2015-04-20,SA,38.49999999999909,-1,480.0
2015-04-21,SA,31.70000000000117,1,630.0
2015-04-22,SA,42.40000000000021,1,270.0
2015-04-23,SW,27.099999999999902,1,810.0
2015-04-24,SA,31.399999999999206,1,510.0
2015-04-27,SA,35.199999999999676,-1,480.0
2015-04-28,SA,36.79999999999905,-1,270.0
2015-04-29,SA,25.999999999999357,1,510.0
2015-04-30,SA,30.399999999999316,1,240.0
2015-05-01,SA,27.29999999999899,1,210.0
2015-05-04,SA,26.100000000000012,-1,450.0
2015-05-05,SA,49.10000000000192,1,585.0
2015-05-06,SA,35.69999999999851,1,615.0
2015-05-07,SA,28.500000000000192,-1,600.0
2015-05-08,NEITHER,,0,
2015-05-11,SW,50.200000000000244,1,390.0
2015-05-12,SW,48.99999999999904,1,270.0
2015-05-13,SA,35.199999999999676,1,270.0
2015-05-14,SA,28.200000000000447,1,315.0
2015-05-15,SA,26.699999999999502,-1,360.0
2015-05-18,SA,35.70000000000073,-1,195.0
2015-05-19,SA,35.80000000000138,-1,225.0
2015-05-20,SA,43.8000000000005,1,525.0
2015-05-21,SA,41.29999999999967,1,255.0
2015-05-22,SA,29.599999999998516,-1,420.0
2015-05-25,NEITHER,,0,
2015-05-26,SA,34.600000000000186,-1,585.0
2015-05-27,SA,26.000000000001577,-1,495.0
2015-05-28,SA,26.699999999999502,-1,330.0
2015-05-29,SA,26.700000000001722,-1,390.0
2015-06-01,SA,27.399999999999647,-1,270.0
2015-06-02,SW,37.8999999999996,1,345.0
2015-06-03,SA,53.900000000000055,-1,270.0
2015-06-04,SA,29.599999999998516,1,255.0
2015-06-05,SA,26.300000000001322,-1,405.0
2015-06-08,SW,26.599999999998847,1,825.0
2015-06-09,SA,58.30000000000002,-1,210.0
2015-06-10,SA,28.200000000000447,1,210.0
2015-06-11,NEITHER,,0,
2015-06-12,SW,44.200000000000905,1,630.0
2015-06-15,SA,26.199999999998447,-1,360.0
2015-06-16,SW,42.00000000000203,-1,285.0
2015-06-17,SA,78.50000000000134,1,270.0
2015-06-18,SA,39.199999999999235,1,225.0
2015-06-19,NEITHER,,0,
2015-06-22,SA,44.200000000000905,-1,375.0
2015-06-23,SA,25.100000000000122,-1,540.0
2015-06-24,SA,25.699999999999612,-1,675.0
2015-06-25,SA,27.099999999999902,1,465.0
2015-06-26,NEITHER,,0,
2015-06-29,SW,35.70000000000073,1,675.0
2015-06-30,SA,25.800000000000267,1,540.0
2015-07-01,SW,25.699999999999612,-1,285.0
2015-07-02,SA,34.399999999998876,-1,495.0
2015-07-03,SW,28.900000000000592,-1,675.0
2015-07-06,SW,25.299999999999212,1,720.0
2015-07-07,SA,25.699999999999612,-1,240.0
2015-07-08,SA,28.599999999998627,-1,315.0
2015-07-09,NEITHER,,0,
2015-07-10,SA,31.29999999999855,1,225.0
2015-07-13,SA,31.200000000000117,1,360.0
2015-07-14,SA,91.699999999999,1,345.0
2015-07-15,SA,28.999999999999027,-1,540.0
